,index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_case,Recovered_Rate,Death_Rate
0,0,Afghanistan,1269,25198,9796,106.0,10.0,18,3.5,69.49,5.04,35526,737,2.07,36263,69.48680473209608,3.499434685492099
1,1,Albania,144,2745,1991,117.0,6.0,63,2.95,56.25,5.25,4171,709,17.0,4880,56.25,2.9508196721311477
2,2,Algeria,1163,18837,7973,616.0,8.0,749,4.16,67.34,6.17,23691,4282,18.07,27973,67.33993493726092,4.1575805240767885
3,3,Andorra,52,803,52,10.0,0.0,0,5.73,88.53,6.48,884,23,2.6,907,88.53362734288865,5.733186328555679
4,4,Angola,41,242,667,18.0,1.0,0,4.32,25.47,16.94,749,201,26.84,950,25.473684210526315,4.315789473684211
5,5,Antigua and Barbuda,3,65,18,4.0,0.0,5,3.49,75.58,4.62,76,10,13.16,86,75.5813953488372,3.488372093023256
6,6,Argentina,3059,72575,91782,4890.0,120.0,2057,1.83,43.35,4.21,130774,36642,28.02,167416,43.35009795957376,1.827184976346347
7,7,Armenia,711,26665,10014,73.0,6.0,187,1.9,71.32,2.67,34981,2409,6.89,37390,71.31585985557636,1.901577962021931
8,8,Australia,167,9311,5825,368.0,6.0,137,1.09,60.84,1.79,12428,2875,23.13,15303,60.84427889956218,1.0912892896817616
9,9,Austria,713,18246,1599,86.0,1.0,37,3.47,88.75,3.91,19743,815,4.13,20558,88.75376982196713,3.46823620974803
10,10,Azerbaijan,423,23242,6781,396.0,6.0,558,1.39,76.34,1.82,27890,2556,9.16,30446,76.33843526243184,1.389345069959929
11,11,Bahamas,11,91,280,,,0,2.88,23.82,12.09,174,208,119.54,382,23.82198952879581,2.8795811518324608
12,12,Bahrain,141,36110,3231,351.0,1.0,421,0.36,91.46,0.39,36936,2546,6.89,39482,91.45939921989768,0.3571247657160225
13,13,Bangladesh,2965,125683,97577,2772.0,37.0,1801,1.31,55.56,2.36,207453,18772,9.05,226225,55.5566360923859,1.310642059896121
14,14,Barbados,7,94,9,0.0,0.0,0,6.36,85.45,7.45,106,4,3.77,110,85.45454545454545,6.363636363636363
15,15,Belarus,538,60492,6221,119.0,4.0,67,0.8,89.95,0.89,66213,1038,1.57,67251,89.94959182763081,0.7999881042661077
16,16,Belgium,9822,17452,39154,402.0,1.0,14,14.79,26.27,56.28,64094,2334,3.64,66428,26.272053953152287,14.785933642439936
